account_type,lang,count
human,en,16212
human,,3463
human,es,926
human,pt,498
human,it,469
human,de,411
human,fr,271
human,ru,223
human,id,216
human,ar,216
human,ja,191
human,tr,156
human,ca,154
human,tl,147
human,da,133
human,nl,122
human,no,120
human,ro,120
human,af,119
human,sv,102
human,cy,79
human,so,77
human,et,67
human,sw,62
human,pl,46
human,ko,45
human,fi,44
human,vi,38
human,hr,37
human,hu,32
human,sl,25
human,lt,24
human,sk,23
human,th,21
human,zh-cn,19
human,sq,19
human,mk,15
human,bg,15
human,uk,13
human,cs,10
human,el,9
human,hi,5
human,lv,5
human,fa,4
human,ur,4
human,ne,2
human,he,2
human,zh-tw,1
bot,en,5238
bot,,4493
bot,ar,378
bot,es,287
bot,af,214
bot,pt,206
bot,ja,187
bot,it,168
bot,de,125
bot,sw,120
bot,fr,104
bot,id,97
bot,zh-cn,72
bot,ko,70
bot,cy,64
bot,tr,64
bot,no,52
bot,so,48
bot,tl,45
bot,ca,44
bot,nl,43
bot,da,41
bot,fi,28
bot,et,28
bot,ro,28
bot,ru,27
bot,sv,24
bot,sl,18
bot,vi,17
bot,pl,16
bot,hr,13
bot,th,10
bot,el,9
bot,fa,8
bot,sk,8
bot,bg,5
bot,ur,5
bot,sq,4
bot,lt,4
bot,hu,3
bot,hi,3
bot,cs,2
bot,zh-tw,2
bot,mk,1
bot,lv,1
bot,pa,1
,,2
